frame,timestamp,track_id,x1,y1,x2,y2,confidence
0,0.000,1,0.0,158.0,58.4,452.4,0.8171
0,0.000,2,645.4,230.9,678.8,327.7,0.6293
0,0.000,3,125.4,228.9,176.4,352.2,0.5942
0,0.000,4,626.7,269.7,652.7,329.2,0.5741
0,0.000,5,58.5,262.4,98.7,373.9,0.5391
0,0.000,6,846.2,197.3,915.2,363.8,0.4998
0,0.000,7,942.6,193.3,959.7,291.0,0.4491
0,0.000,8,888.5,211.7,938.3,360.7,0.3838
1,0.033,1,0.8,154.4,60.0,452.6,0.8564
1,0.033,2,647.7,230.8,681.4,328.5,0.6401
1,0.033,3,129.0,229.1,179.2,350.9,0.6856
1,0.033,4,629.1,269.7,655.2,329.4,0.5439
1,0.033,5,56.8,254.4,100.0,374.4,0.6107
1,0.033,6,839.2,195.7,909.3,365.6,0.6370
1,0.033,7,941.5,192.8,958.9,292.1,0.5243
1,0.033,8,889.0,219.6,936.4,361.6,0.5604
2,0.067,1,1.4,150.0,61.4,452.5,0.8712
2,0.067,2,648.3,231.0,681.6,328.0,0.6240
2,0.067,3,130.8,229.4,180.7,350.9,0.6733
2,0.067,4,630.4,269.7,656.4,329.1,0.5025
2,0.067,5,56.3,252.9,100.0,374.2,0.6138
2,0.067,6,841.9,195.3,912.2,365.7,0.5589
2,0.067,7,940.6,191.0,958.6,293.1,0.5295
2,0.067,8,887.4,216.3,936.4,362.6,0.4476
3,0.100,1,1.6,139.3,63.9,452.3,0.8808
3,0.100,2,648.4,230.7,682.1,329.0,0.6315
3,0.100,3,131.2,231.0,180.7,351.8,0.6633
3,0.100,4,631.1,270.4,656.7,328.9,0.4342
3,0.100,5,56.3,249.4,101.3,374.1,0.6548
3,0.100,6,851.3,196.4,921.9,365.5,0.6209
3,0.100,7,940.3,188.3,958.8,293.2,0.5019
3,0.100,8,885.1,210.6,936.5,364.2,0.2695
4,0.133,1,2.8,126.4,67.9,452.2,0.8963
4,0.133,2,648.3,230.5,682.0,329.7,0.5953
4,0.133,3,131.2,230.8,180.8,352.5,0.6558
4,0.133,4,631.0,268.6,657.5,329.9,0.3996
4,0.133,5,56.1,252.5,100.0,374.2,0.5214
4,0.133,6,853.9,194.9,926.3,366.0,0.8087
4,0.133,7,939.4,183.3,959.0,293.6,0.5523
5,0.167,1,4.9,120.5,71.8,451.9,0.8949
5,0.167,2,648.7,230.0,682.5,329.8,0.5170
5,0.167,3,131.8,231.2,181.1,352.4,0.6769
5,0.167,4,632.2,269.0,658.9,331.4,0.4264
5,0.167,5,56.2,252.3,100.3,374.3,0.5153
5,0.167,6,853.5,194.9,927.0,366.8,0.7862
5,0.167,7,939.0,181.7,958.9,293.7,0.5469
6,0.200,1,4.4,116.4,72.5,451.9,0.8974
6,0.200,2,650.9,229.6,685.1,330.5,0.4769
6,0.200,3,133.1,230.7,181.9,351.7,0.6385
6,0.200,4,633.7,269.1,660.3,332.3,0.3352
6,0.200,5,55.8,253.1,99.8,374.5,0.5408
6,0.200,6,852.8,195.0,927.6,368.3,0.7286
6,0.200,7,938.6,180.6,958.9,293.9,0.5673
7,0.233,1,4.6,113.7,73.9,451.9,0.9007
7,0.233,2,653.5,228.8,688.4,330.9,0.4479
7,0.233,3,135.3,229.2,183.8,351.6,0.5683
7,0.233,4,635.1,269.6,661.1,332.1,0.3140
7,0.233,5,55.7,252.5,100.1,374.8,0.5492
7,0.233,6,850.5,194.8,926.1,368.7,0.7372
7,0.233,7,938.0,179.9,958.7,294.4,0.5800
8,0.267,1,5.1,111.4,75.7,451.6,0.9066
8,0.267,2,655.1,228.4,690.4,330.4,0.5195
8,0.267,3,137.4,229.4,184.8,351.1,0.5899
8,0.267,4,636.2,269.3,662.0,332.0,0.3323
8,0.267,5,55.8,252.5,100.0,374.5,0.6071
8,0.267,6,848.4,195.4,924.5,369.8,0.6995
8,0.267,7,937.2,179.2,958.4,295.3,0.6113
9,0.300,1,5.8,112.2,77.1,451.5,0.9011
9,0.300,2,656.0,227.8,691.4,328.9,0.5880
9,0.300,3,138.8,229.4,185.1,350.5,0.5677
9,0.300,5,55.5,251.7,99.7,374.2,0.5466
9,0.300,6,846.0,196.1,922.5,371.2,0.7437
9,0.300,7,936.3,179.5,958.1,297.0,0.6623
10,0.333,1,6.6,113.5,78.8,451.3,0.8960
10,0.333,2,656.0,226.7,692.2,329.3,0.5720
10,0.333,3,140.6,230.0,185.3,349.2,0.3890
10,0.333,5,55.5,251.4,99.5,374.1,0.5880
10,0.333,6,842.0,195.8,918.3,371.4,0.7474
10,0.333,7,935.4,180.4,957.7,298.9,0.6908
10,0.333,16,668.6,237.7,692.7,325.1,0.3903
11,0.367,1,7.7,113.1,81.4,451.4,0.8927
11,0.367,2,655.6,226.0,692.6,330.0,0.5262
11,0.367,3,142.7,230.8,186.1,348.7,0.3952
11,0.367,5,54.4,249.0,98.9,374.0,0.5414
11,0.367,6,840.8,195.1,917.3,371.8,0.7620
11,0.367,7,934.0,179.4,957.9,305.1,0.6732
11,0.367,16,670.2,240.7,693.0,322.6,0.2571
12,0.400,1,8.6,114.9,85.5,460.3,0.8905
12,0.400,2,655.9,227.3,693.0,330.5,0.5180
12,0.400,3,144.3,232.1,186.8,349.0,0.5026
12,0.400,5,53.7,245.8,99.0,374.1,0.6139
12,0.400,6,840.7,192.3,918.6,371.7,0.8073
12,0.400,7,932.0,178.2,958.3,315.3,0.6809
13,0.433,1,9.0,116.3,87.6,462.2,0.8993
13,0.433,2,657.6,229.8,694.1,330.6,0.4934
13,0.433,3,147.7,236.8,188.4,350.3,0.4578
13,0.433,5,53.6,243.6,99.1,374.1,0.5823
