frame,timestamp,track_id,x1,y1,x2,y2,confidence
10,0.334,4,513.2,853.5,565.4,933.1,0.3629
116,3.871,7,375.9,318.1,412.9,401.8,0.3680
117,3.904,7,376.4,320.2,412.8,402.4,0.3114
160,5.339,9,377.8,364.4,418.2,454.4,0.3683
161,5.372,9,377.6,366.2,418.4,456.9,0.4247
162,5.405,9,378.5,367.4,418.9,457.1,0.3334
163,5.439,9,378.2,369.4,418.3,458.5,0.3867
164,5.472,9,378.5,370.4,418.6,459.2,0.3819
165,5.506,9,379.5,371.9,418.3,457.8,0.3459
166,5.539,9,379.9,372.2,418.9,458.4,0.3078
167,5.572,9,380.9,372.5,419.6,457.4,0.3016
169,5.639,9,382.1,373.5,422.9,462.5,0.2946
170,5.672,9,383.6,373.7,424.5,461.9,0.2650
242,8.075,14,382.7,455.2,418.0,545.7,0.3425
243,8.108,14,382.7,452.5,419.4,546.4,0.3748
244,8.141,14,383.2,450.5,420.7,546.0,0.3047
245,8.175,14,383.5,450.9,421.5,547.3,0.2862
246,8.208,14,384.2,453.8,422.6,550.2,0.3016
325,10.844,17,379.2,568.5,422.5,670.4,0.3732
326,10.878,17,380.2,571.5,422.4,670.4,0.3019
327,10.911,17,380.6,572.4,423.3,672.3,0.3554
328,10.944,17,380.2,574.9,422.5,673.3,0.3820
329,10.978,17,380.0,576.3,422.2,673.6,0.3787
331,11.044,17,380.2,578.4,421.9,673.1,0.3256
332,11.078,17,380.5,579.7,422.4,673.5,0.3116
333,11.111,17,380.8,580.6,423.3,674.7,0.3219
334,11.144,17,378.5,581.8,422.1,678.3,0.2623
335,11.178,17,377.9,583.2,421.8,679.9,0.2524
342,11.411,17,380.1,597.1,424.1,693.5,0.2644
362,12.079,19,374.5,628.7,417.0,723.8,0.3393
363,12.112,19,375.6,628.8,418.6,724.7,0.3514
364,12.145,19,376.1,629.3,419.4,725.7,0.2789
473,15.782,23,364.3,820.7,421.2,929.9,0.3943
596,19.887,24,356.9,65.6,389.2,169.5,0.3155
597,19.920,24,357.6,66.1,389.5,168.8,0.2739
598,19.953,24,359.2,65.8,390.4,166.0,0.3352
599,19.987,24,360.4,65.5,391.3,164.2,0.3513
600,20.020,24,361.6,66.5,392.5,165.0,0.3243
604,20.153,24,363.0,63.5,395.9,166.9,0.2982
605,20.187,24,364.1,63.4,397.3,167.3,0.2682
636,21.221,24,383.9,53.6,417.1,150.3,0.2856
637,21.255,24,384.6,53.7,418.6,151.5,0.2570
638,21.288,24,385.5,54.1,420.6,155.7,0.3122
640,21.355,24,388.2,58.7,422.7,159.0,0.2736
641,21.388,24,388.1,56.0,423.2,158.9,0.2814
657,21.922,24,399.5,41.8,434.5,150.6,0.3510
658,21.955,24,400.1,41.3,435.0,150.1,0.3703
659,21.989,24,401.3,40.7,435.6,148.4,0.3389
660,22.022,24,401.7,41.3,436.0,148.6,0.3754
661,22.055,24,402.0,41.6,436.2,148.1,0.3024
665,22.189,24,404.1,44.1,437.4,146.6,0.2529
666,22.222,24,404.4,44.3,437.9,146.8,0.2575
